"测试结果"	"职业分类"	"职业项"	"所需专业及代码"
		"报道人或编辑"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"杂志报道人或编辑"	"新闻传播学类0503，新闻学050301，新闻采编与制作670308，网络新闻与传播670316"
		"信息图片设计师
"	"工艺美术品设计与制作670134，设计学类1305"
	"营销／计划"		
		"公关专家"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"营销顾问"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"广告业务经理"	"市场管理与服务620511，市场营销120202，市场营销类6204，市场营销620401，市场营销类其他专业620499"
		"广告撰稿人或公共写作人"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"广告创意指导"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"战略策划人"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"报刊宣传员"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"调研助理"	"工商企业管理620501，信息传播与策划670312，文化创意与策划660153，广告策划与营销620407"
		"编辑或艺术指导(杂志)
"	"艺术学理论类1301，艺术设计学130501，艺术教育660242，艺术设计类6701，艺术设计670101，产品艺术设计670102，"
	"教育／咨询"		
		"特殊教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"双语种教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"早期儿童教育老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"艺术戏剧、音乐及英语老师"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"儿童福利顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"酒精毒品禁戒顾问"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
		"社会工作者(老年人及儿童日常照顾问题)"	"教育学04，教育学类0401，教育学040101，科学教育040102，人文教育040103，教育技术学040104，应用心理学071102，心理学类0711，心理学071102"
